aiofiles                                 23.2.1
aiohappyeyeballs                         2.4.4
aiohttp                                  3.11.11
aiosignal                                1.3.2
annotated-types                          0.7.0
anyio                                    4.8.0
async-timeout                            4.0.3
asyncer                                  0.0.7
attrs                                    24.3.0
bidict                                   0.23.1
certifi                                  2024.12.14
chainlit                                 2.0.1
chardet                                  5.2.0
charset-normalizer                       3.4.1
chevron                                  0.14.0
click                                    8.1.8
colorama                                 0.4.6
dataclasses-json                         0.6.7
Deprecated                               1.2.15
exceptiongroup                           1.2.2
faiss-cpu                                1.9.0.post1
fastapi                                  0.115.6
filelock                                 3.16.1
filetype                                 1.2.0
frozenlist                               1.5.0
fsspec                                   2024.12.0
googleapis-common-protos                 1.66.0
greenlet                                 3.1.1
grpcio                                   1.69.0
h11                                      0.14.0
httpcore                                 1.0.7
httpx                                    0.27.2
httpx-sse                                0.4.0
huggingface-hub                          0.27.1
idna                                     3.10
importlib_metadata                       8.5.0
Jinja2                                   3.1.5
joblib                                   1.4.2
jsonpatch                                1.33
jsonpointer                              3.0.0
langchain                                0.3.14
langchain-community                      0.3.14
langchain-core                           0.3.29
langchain-huggingface                    0.1.2
langchain-ollama                         0.2.2
langchain-text-splitters                 0.3.5
langsmith                                0.2.10
Lazify                                   0.4.0
literalai                                0.0.623
MarkupSafe                               3.0.2
marshmallow                              3.24.2
mpmath                                   1.3.0
multidict                                6.1.0
mypy-extensions                          1.0.0
nest-asyncio                             1.6.0
networkx                                 3.2.1
numpy                                    1.26.4
ollama                                   0.4.5
opentelemetry-api                        1.28.2
opentelemetry-exporter-otlp              1.28.2
opentelemetry-exporter-otlp-proto-common 1.28.2
opentelemetry-exporter-otlp-proto-grpc   1.28.2
opentelemetry-exporter-otlp-proto-http   1.28.2
opentelemetry-instrumentation            0.49b2
opentelemetry-proto                      1.28.2
opentelemetry-sdk                        1.28.2
opentelemetry-semantic-conventions       0.49b2
orjson                                   3.10.14
packaging                                23.2
pandas                                   2.2.3
pillow                                   11.1.0
pip                                      24.2
propcache                                0.2.1
protobuf                                 5.29.3
pydantic                                 2.10.5
pydantic_core                            2.27.2
pydantic-settings                        2.7.1
PyJWT                                    2.10.1
python-dateutil                          2.9.0.post0
python-dotenv                            1.0.1
python-engineio                          4.11.2
python-multipart                         0.0.18
python-socketio                          5.12.1
pytz                                     2024.2
PyYAML                                   6.0.2
regex                                    2024.11.6
requests                                 2.32.3
requests-toolbelt                        1.0.0
safetensors                              0.5.2
scikit-learn                             1.6.0
scipy                                    1.13.1
sentence-transformers                    3.3.1
setuptools                               75.1.0
simple-websocket                         1.1.0
six                                      1.17.0
sniffio                                  1.3.1
SQLAlchemy                               2.0.36
starlette                                0.41.3
sympy                                    1.13.1
syncer                                   2.0.3
tenacity                                 9.0.0
threadpoolctl                            3.5.0
tokenizers                               0.21.0
tomli                                    2.2.1
torch                                    2.5.1
tqdm                                     4.67.1
transformers                             4.47.1
typing_extensions                        4.12.2
typing-inspect                           0.9.0
tzdata                                   2024.2
uptrace                                  1.28.2
urllib3                                  2.3.0
uvicorn                                  0.25.0
watchfiles                               0.20.0
wheel                                    0.44.0
wrapt                                    1.17.0
wsproto                                  1.2.0
yarl                                     1.18.3
zipp                                     3.21.0
