Régime(s) d études,Secteur(s) d activité,Niveau d entrée,Discipline(s),Domaine,Diplôme,Nom de la formation
Formation initiale|Formation en apprentissage|Formation en contrat de professionnalisation,Droit|Administration,Baccalauréat ou équivalent,Droit| administration publique| propriété intellectuelle et industrielle,DROIT| ÉCONOMIE| GESTION,B.U.T.,Bachelor Universitaire de Technologie (B.U.T.) Carrières juridiques (CJ)
Formation initiale|Formation en apprentissage|Formation en contrat de professionnalisation,Agronomie| agroalimentaire| agriculture|Bio-industries| biotechnologies,Baccalauréat ou équivalent,Agronomie| Agriculture,SCIENCES| TECHNOLOGIES| SANTÉ,B.U.T.,Bachelor Universitaire de Technologie (B.U.T.) Génie Biologique (GB) parcours Agronomie
Formation initiale|Formation en apprentissage|Formation en contrat de professionnalisation,Electronique| automatique| électrotechnique| génie électrique,Baccalauréat ou équivalent,Ingénierie et technologies,SCIENCES| TECHNOLOGIES| SANTÉ,B.U.T.,Bachelor Universitaire de Technologie (B.U.T.) Génie Electrique et Informatique Industrielle (GEII)
Formation initiale|Formation en apprentissage|Formation en contrat de professionnalisation,Automobile| aéronautique| énergie| industrie| R&D,Baccalauréat ou équivalent,Ingénierie et technologies,SCIENCES| TECHNOLOGIES| SANTÉ,B.U.T.,Bachelor Universitaire de Technologie (B.U.T.) Génie Mécanique et Productique (GMP)
Formation initiale|Formation en apprentissage|Formation en contrat de professionnalisation,Gestion| comptabilité| management des entreprises,Baccalauréat ou équivalent,Economie| gestion| management| marketing|Droit| administration publique| propriété intellectuelle et industrielle,DROIT| ÉCONOMIE| GESTION,B.U.T.,Bachelor Universitaire de Technologie (B.U.T.) Gestion des Entreprises et des Administrations (GEA)
Formation initiale|Formation en apprentissage|Formation en contrat de professionnalisation,Risque et sécurité,Baccalauréat ou équivalent,Ingénierie et technologies,SCIENCES| TECHNOLOGIES| SANTÉ,B.U.T.,Bachelor Universitaire de Technologie (B.U.T.) Hygiène Sécurité Environnement (HSE)
Formation initiale|Formation en apprentissage|Formation en contrat de professionnalisation,Transport| logistique,Baccalauréat ou équivalent,Economie| gestion| management| marketing,DROIT| ÉCONOMIE| GESTION,B.U.T.,Bachelor Universitaire de Technologie (B.U.T.) Management de la Logistique et des Transports (MLT)
Formation initiale|Formation en apprentissage|Formation en contrat de professionnalisation,Energie| génie climatique et énergétique,Baccalauréat ou équivalent,Ingénierie et technologies,SCIENCES| TECHNOLOGIES| SANTÉ,B.U.T.,Bachelor Universitaire de Technologie (B.U.T.) Métiers de la transition et de l'efficacité énergétiques (MT2E)
Formation initiale|Formation en apprentissage|Formation en contrat de professionnalisation,Information| communication| journalisme|Développement Web| programmation| numérique|Graphisme| réseaux sociaux,Baccalauréat ou équivalent,Communication| information| journalisme|Développement Web|Création numérique,SCIENCES| TECHNOLOGIES| SANTÉ,B.U.T.,Bachelor Universitaire de Technologie (B.U.T.) Métiers du Multimédia et de I'Internet (MMI)
Formation initiale|Formation en apprentissage|Formation en contrat de professionnalisation,Technologies de l'information| télécommunications| réseaux,Baccalauréat ou équivalent,Ingénierie et technologies,SCIENCES| TECHNOLOGIES| SANTÉ,B.U.T.,Bachelor Universitaire de Technologie (B.U.T.) Réseaux et télécommunications (RT)
Formation initiale|Formation en apprentissage|Formation en contrat de professionnalisation,Chimie| matériaux| plasturgie|Métallurgie automobile| aéronautique| construction navale et ferroviaire|Industrie cosmétique,Baccalauréat ou équivalent,Physique| chimie| matériaux,SCIENCES| TECHNOLOGIES| SANTÉ,B.U.T.,Bachelor Universitaire de Technologie (B.U.T.) Science et Génie des Matériaux (SGM)
Formation initiale|Formation en apprentissage|Formation en contrat de professionnalisation,Commerce| vente| distribution,Baccalauréat ou équivalent,Economie| gestion| management| marketing,DROIT| ÉCONOMIE| GESTION,B.U.T.,Bachelor Universitaire de Technologie (B.U.T.) Techniques de Commercialisation (TC)
Formation initiale,,Baccalauréat ou équivalent,,DROIT| ÉCONOMIE| GESTION,Licence,Licence Administration Economique et Sociale
Formation initiale,Administration|Droit,Baccalauréat ou équivalent,Droit| administration publique| propriété intellectuelle et industrielle,DROIT| ÉCONOMIE| GESTION,Licence,Licence Droit
Formation initiale,Electronique| automatique| électrotechnique| génie électrique,Baccalauréat ou équivalent,Ingénierie et technologies,SCIENCES| TECHNOLOGIES| SANTÉ,Licence,Licence Electronique| Energie électrique et Automatique (EEA)
Formation initiale,Commerce| vente| distribution|Gestion| comptabilité| management des entreprises,Baccalauréat ou équivalent,Economie| gestion| management| marketing,DROIT| ÉCONOMIE| GESTION,Licence,Licence Gestion
Formation initiale,,Baccalauréat ou équivalent,,SCIENCES HUMAINES ET SOCIALES,Licence,Licence Histoire
Formation initiale,,Baccalauréat ou équivalent,,SCIENCES| TECHNOLOGIES| SANTÉ,Licence,Licence informatique
Formation initiale,,Baccalauréat ou équivalent,,ARTS| LETTRES| LANGUES,Licence,Licence Langues Etrangères Appliquées
Formation initiale,,Baccalauréat ou équivalent,,ARTS| LETTRES| LANGUES,Licence,Licence Langues| Littératures et Civilisations Etrangères et Régionales
Formation initiale,,Baccalauréat ou équivalent,,ARTS| LETTRES| LANGUES,Licence,Licence Lettres
Formation initiale,Enseignement| formation| éducation|Informatique|Recherche| recherche et développement,Baccalauréat ou équivalent,Mathématiques et informatique,SCIENCES| TECHNOLOGIES| SANTÉ,Licence,Licence Mathématiques
Formation initiale,,Baccalauréat ou équivalent,,SCIENCES| TECHNOLOGIES| SANTÉ,Licence,Licence Physique et Chimie
Formation initiale,Administration|Information| communication| journalisme|Politique et société,Baccalauréat ou équivalent,Communication| information| journalisme|Relations internationales| études européennes| études régionales|Sciences politiques,DROIT| ÉCONOMIE| GESTION,Licence,Licence Science Politique
Formation initiale,,Baccalauréat ou équivalent,,SCIENCES HUMAINES ET SOCIALES,Licence,Licence Sciences de l'Education et de la formation
Formation initiale,Agronomie| agroalimentaire| agriculture,Baccalauréat ou équivalent,Agronomie| agroalimentaire| nutrition|Sciences de la vie et de la santé| psychologie,SCIENCES| TECHNOLOGIES| SANTÉ,Licence,Licence Sciences de la vie
Formation initiale,Enseignement| formation| éducation|Action sociale| culturelle et sportive,Baccalauréat ou équivalent,Sciences du sport,STAPS,Licence,Licence Sciences et Techniques des Activités Physiques et Sportives (STAPS) - Activité physique adaptée - Santé
Formation initiale,Administration|Politique et société,Baccalauréat ou équivalent,Philosophie| éthique|Economie| gestion| management| marketing,SCIENCES HUMAINES ET SOCIALES,Licence,Licence Sciences Sociales
Formation en apprentissage|Formation en contrat de professionnalisation,Bio-industries| biotechnologies,BAC +2,Sciences de la vie et de la santé| psychologie,SCIENCES| TECHNOLOGIES| SANTÉ,Licence professionnelle,Licence professionnelle Bio-industries et bio-technologies
Formation en apprentissage|Formation en contrat de professionnalisation,Commerce| vente| distribution|Agroalimentaire,BAC +2,Economie| gestion| management| marketing|Oenologie,DROIT| ÉCONOMIE| GESTION,Licence professionnelle,Licence professionnelle Commercialisation des produits alimentaires
Formation initiale|Formation en apprentissage|Formation en contrat de professionnalisation,Action sociale| culturelle et sportive|Arts| spectacles| culture,BAC +2,Arts et design|Communication| information| journalisme|Economie| gestion| management| marketing,ARTS| LETTRES| LANGUES,Licence professionnelle,Licence professionnelle Gestion de Projets et Structures Artistiques et Culturels (GEPSAC)
