ID Métier,Nom du Métier,Domaine du Métier,Niveau de Formation,Expérience Attendue,Opportunités de Carrière,Compétences du Métier,Code ROME,Description
1,Technicien Réseaux,Finance,Bac +3,Expert,Consultant,"Gestion de projet, Sécurité des systèmes, Leadership",F1103,Les professionnels du domaine travaillent à sécuriser les infrastructures réseaux et à assurer leur bon fonctionnement.
2,Consultant Big Data,RH,Master,Débutant,Manager,"Analyse de données, Créativité, Analyse financière",F1103,"Ce métier consiste à concevoir, développer, et maintenir des applications ou des systèmes répondant aux besoins des utilisateurs."
3,Chef de Projet IT,Marketing,Doctorat,Débutant,Spécialiste,"Sécurité des systèmes, Conception réseau, Programmation",D1202,"Ce métier consiste à concevoir, développer, et maintenir des applications ou des systèmes répondant aux besoins des utilisateurs."
4,Analyste Cybersécurité,RH,Bac +3,Intermédiaire,Entrepreneur,"Gestion de projet, Cloud computing, Communication",H1206,Les professionnels du domaine travaillent à sécuriser les infrastructures réseaux et à assurer leur bon fonctionnement.
5,Consultant Big Data,Commerce,Bac,Expert,Manager,"Créativité, Leadership, Sécurité des systèmes",H1206,Les professionnels du domaine travaillent à sécuriser les infrastructures réseaux et à assurer leur bon fonctionnement.
6,Analyste Cybersécurité,RH,Bac +2,Débutant,Consultant,"Communication, Analyse de données, Cloud computing",N3203,"Gère des projets complexes et coordonne les équipes, les budgets, et le développement technique."
7,Développeur Web,Marketing,Bac +2,Confirmé,Formateur,"Conception réseau, Créativité, Programmation",I1401,Les professionnels du domaine travaillent à sécuriser les infrastructures réseaux et à assurer leur bon fonctionnement.
8,Chef de Projet IT,Informatique,Bac +2,Confirmé,Consultant,"Sécurité des systèmes, Leadership, Analyse financière",D1202,Spécialiste des données et des systèmes de sécurité pour contrer les menaces numériques.
9,Développeur Web,Construction,Bac +3,Confirmé,Spécialiste,"Programmation, Conception réseau, Sécurité des systèmes",H1206,Spécialiste des données et des systèmes de sécurité pour contrer les menaces numériques.
10,Ingénieur Sécurité,Santé,Bac,Confirmé,Consultant,"Gestion de projet, Conception réseau, Créativité",B1805,"Gère des projets complexes et coordonne les équipes, les budgets, et le développement technique."
11,Data Scientist,Commerce,Master,Confirmé,Entrepreneur,"Sécurité des systèmes, Communication, Analyse financière",B1805,L'ingénieur s'assure que les systèmes et logiciels utilisés respectent les standards de sécurité pour les données.
12,Ingénieur Logiciel,Finance,Bac +3,Confirmé,Entrepreneur,"Analyse financière, Programmation, Gestion de projet",I1401,L'ingénieur s'assure que les systèmes et logiciels utilisés respectent les standards de sécurité pour les données.
13,Ingénieur Sécurité,Transport,Bac +2,Débutant,Manager,"Analyse financière, Gestion de projet, Sécurité des systèmes",N3203,Spécialiste des données et des systèmes de sécurité pour contrer les menaces numériques.
14,Data Scientist,Finance,Bac,Débutant,Entrepreneur,"Créativité, Conception réseau, Leadership",G1101,"Ce métier consiste à concevoir, développer, et maintenir des applications ou des systèmes répondant aux besoins des utilisateurs."
